Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
hso_normal_training_robustbench_Gowal2020Uncovering_34_20_cifar10_13,https://arxiv.org/abs/2010.03593,,,,False,88.33,0.00,Gowal2020Uncovering_34_20,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Gowal2021Improving_70_16_ddpm_100m_cifar10_13,https://arxiv.org/abs/2110.09468,,,,False,87.91,0.00,Gowal2021Improving_70_16_ddpm_100m,WideResNet-70-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
timm_wide_resnet50_2_imagenet1k_13,,,,,False,81.45,0,wide_resnet50_2,WideResNet-50-2,pytorch,False,imagenet,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Wu2020Adversarial_cifar100_13,https://arxiv.org/abs/2004.05884,,,,False,78.79,0.00,Wu2020Adversarial,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_13,https://arxiv.org/abs/2011.11164,,,,False,79.11,0.00,Cui2020Learnable_34_10_LBGAT0,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Wong2020Fast_imagenet1k_13,https://arxiv.org/abs/2001.03994,,,,False,51.74,0,Wong2020Fast,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Hendrycks2019Using_cifar100_13,https://arxiv.org/abs/1901.09960,,,,False,79.16,0.00,Hendrycks2019Using,WideResNet-28-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Pang2020Boosting_cifar10_13,https://arxiv.org/abs/2002.08619,,,,False,76.30,0.00,Pang2020Boosting,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Engstrom2019Robustness_cifar10_13,https://github.com/MadryLab/robustness,,,,False,94.90,0.00,Engstrom2019Robustness,ResNet-50,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Rice2020Overfitting_cifar100_13,https://arxiv.org/abs/2002.11569,,,,False,76.18,0.00,Rice2020Overfitting,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Chen2020Efficient_cifar100_13,https://arxiv.org/abs/2010.01278,,,,False,78.75,0.00,Chen2020Efficient,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
